week_num,week_day,order_A,order_B,order_C
3,2,33.973,148.274,162.04399999999998
3,2,57.81,236.248,196.732
3,2,59.042,130.09799999999998,168.25400000000002
3,3,36.399,43.306000000000004,168.72299999999998
3,3,43.358999999999995,89.382,156.916
3,3,44.809,99.072,115.365
3,4,45.706,111.036,124.678
3,4,45.555,148.718,104.186
3,4,39.025,110.74,94.47
3,5,43.851000000000006,66.277,133.44
3,5,45.55,120.54799999999999,157.505
3,5,39.6,240.922,122.085
3,6,43.339,136.434,128.405
3,6,57.467,88.462,109.132
4,2,46.24100000000001,120.865,196.296
4,2,41.418,135.189,165.99900000000002
4,3,56.519,136.709,143.644
4,3,67.884,267.342,281.22700000000003
4,3,34.193000000000005,115.536,118.911
4,4,56.167,78.101,112.72399999999999
4,4,70.376,154.24200000000002,121.417
4,4,32.653,81.57600000000001,74.372
4,5,51.66,92.272,164.94799999999998
4,5,71.068,100.544,136.033
4,5,51.985,51.93,98.10700000000001
4,6,47.717,71.47399999999999,113.935
4,6,64.137,109.06200000000001,80.648
4,6,36.748000000000005,71.35300000000001,105.40799999999999
5,2,59.135,157.681,187.56400000000002
5,2,118.178,260.632,152.134
5,2,59.131,92.639,165.079
5,3,51.199,124.66,157.5
5,3,54.224,115.74600000000001,116.44200000000001
5,4,47.001999999999995,99.89200000000001,159.46200000000002
5,4,58.378,142.382,102.68700000000001
5,5,76.763,96.478,131.709
5,6,107.568,121.152,103.18
