week_num,week_day,bank_ord_1,bank_ord_2,bank_ord_3
1,3,19141,78378,73839
1,4,44914,188411,14793
1,4,9163,29874,46992
1,5,21399,89461,7679
1,5,21196,47793,47574
1,6,3452,21305,14947
1,6,36798,92701,31098
1,6,138536,85378,14020
2,2,33703,69054,18423
2,2,43333,135314,29716
2,2,69093,169088,12516
2,3,19646,16411,20257
2,3,22109,55584,29803
2,3,43112,72840,11304
2,4,8773,47522,24966
2,4,14188,67617,32319
2,4,13736,70191,16710
2,5,33597,48269,20973
2,5,24682,47563,35314
2,5,25876,38646,13989
2,6,26278,56665,18502
2,6,45733,43930,28998
2,6,30138,52112,12632
