week_num,week_day,non_urgent_order,urgent_order
1,3,131.067,166.649
1,4,316.307,223.27
1,4,130.129,98.927
1,5,128.63299999999998,96.042
1,5,123.286,103.551
1,6,43.651,84.375
1,6,190.81599999999997,87.62899999999999
1,6,275.07599999999996,121.697
2,2,171.297,127.667
2,2,266.741,141.437
2,2,252.298,150.708
2,3,90.53200000000001,113.52600000000001
2,3,123.14299999999999,106.083
2,3,165.472,102.53
2,4,110.925,96.36
2,4,148.139,85.31
2,4,126.03,108.055
2,5,144.124,118.919
2,5,118.552,100.417
2,5,112.24600000000001,106.641
2,6,119.37899999999999,113.87
2,6,146.959,95.15299999999999
2,6,123.302,94.315
